user_id,video_owner_id,total_view_time,vk_platform,nav_screen,video_id
1192626708028,218753722780,1,vk_video_android,video_for_you,1524751626972
1193886953910,283074246524,1,vk_video_ios,video_for_you,1524753354786
1196087088420,289256467248,0,vk_video_android,video_for_you,1524752074800
1199433320834,266088143432,0,vk_video_android,video_for_you,1524752071458
1205145237464,292172066184,0,vk_video_android,video_search,1524753414942
1222263318010,280716937344,0,vk_video_android,video_for_you,1524752081484
1222465511526,296134467184,1,vk_video_android,video_search,1524751276062
1226245144838,145375276792,0,vk_video_android,video_for_you,1524755777736
1248004741186,-230769727148,4,vk_video_android,video_search,1524753826008
1249424613528,116387160040,0,vk_video_ios,video_for_you,1524764964894
1253741153952,279942606536,0,vk_video_android,video_search,1524760890996
1264351795812,284977746760,0,vk_video_android,video_search,1524758133846
1277533026042,270905199672,0,vk_video_android,video_for_you,1524763103400
1278499318292,290095899136,2,vk_video_android,video_for_you,1524751907700
1298317194286,218753722780,1,vk_video_android,video_for_you,1524751586868
1305571765120,289256591704,1,vk_video_ios,video_for_you,1524752148324
1311164614466,223033997644,0,vk_video_android,video_for_you,1524758043612
1351654317818,269668717396,1,vk_video_android,video_for_you,1524756606552
1354981274584,-17095510508,0,vk_video_ios,video_search,1524751075542
1361190543090,283977180100,1,vk_video_ios,video_for_you,1524753147582
1371260061290,218753722780,0,vk_video_android,video_search,1524750908442
1393412700148,230659884136,0,vk_video_ios,video_for_you,1524756456162
1420821968846,291298210296,1,vk_video_android,video_search,1524755877996
1420821968846,264398696924,127,vk_video_android,video_search,1524750885048
1432599690956,11102514540,2,vk_video_ios,video_for_you,1524751199196
1436611635984,277312119084,10,vk_video_android,video_search,1524751469898
1436935908604,294822833344,0,vk_video_ios,video_for_you,1524752469156
1449909423648,254211670128,0,vk_video_ios,video_for_you,1524771204408
1467627960708,148656462580,1,vk_video_android,video_search,1524760406406
1478443908298,278008965440,0,vk_video_android,video_search,1524752195112
1493972249854,138613268524,3,vk_video_android,video_search,1524750841602
1495675434064,220387150848,0,vk_video_android,video_search,1524766980120
1508770626636,200850380292,2,vk_video_ios,video_for_you,1524756710154
1526484445178,283348041780,1,vk_video_ios,video_search,1524751229274
1539130976964,145375276792,0,vk_video_ios,video_for_you,1524755660766
1542984600654,292278366172,0,vk_video_android,video_search,1524754370754
1544174570736,290441594212,0,vk_video_android,video_for_you,1524757204770
1581187629868,220469775068,10,vk_video_android,video_for_you,1524771832704
1622237431346,145819277544,1,vk_video_android,video_for_you,1524763932216
1623593051528,214109178444,0,vk_video_ios,video_for_you,1524753381522
1643665727494,290572892644,0,vk_video_android,video_for_you,1524753418284
1644667559220,292278366172,0,vk_video_android,video_search,1524754287204
1656069606982,292278366172,3,vk_video_ios,video_for_you,1524754370754
1687357899052,278684190876,0,vk_video_ios,video_for_you,1524758668566
1707598433786,280032388300,0,vk_video_android,video_for_you,1524759657798
1711065540576,250683906552,0,vk_video_ios,video_search,1524764941500
1715570520538,255924975116,1,vk_video_android,video_search,1524753064032
1723246746172,279672446984,2,vk_video_android,video_for_you,1524754564590
1737309536116,283308140392,642,vk_video_android,video_search,1524756690102
1758938821052,145819277544,0,vk_video_android,video_for_you,1524762842724
1781448460974,292278366172,3,vk_video_android,video_for_you,1524754370754
1784589287264,247876692904,0,vk_video_android,video_search,1524752198454
1822189952478,263063546196,3,vk_video_android,video_for_you,1524752021328
1843955873648,223210807252,0,vk_video_ios,video_for_you,1524781975674
1845371529442,36380330484,0,vk_video_android,video_for_you,1524754313940
1858197164124,145819277544,0,vk_video_ios,video_for_you,1524763932216
1864212672210,-766299547132,1,vk_video_ios,video_search,1524752432394
1868291278854,291259019896,2,vk_video_android,video_for_you,1524751185828
1873021141376,292278366172,1,vk_video_ios,video_for_you,1524754394148
1923296749878,279942606536,1233,vk_video_android,video_for_you,1524760890996
1941317774060,244554326744,2,vk_video_android,video_search,1524750875022
1942808223384,281758497692,0,vk_video_android,video_for_you,1524782811174
1974255338762,254211670128,14,vk_video_ios,video_search,1524771378192
2026469455010,-823384494288,904,vk_video_android,video_search,1524750988650
2036262387740,289256570520,0,vk_video_ios,video_for_you,1524752058090
2037035622328,-26864505488,29,vk_video_android,video_my_added,546551318322
2060364276502,270625494080,0,vk_video_android,video_for_you,1524760804104
2068930595340,281414166336,0,vk_video_android,video_search,1524750834918
2085224943116,-514589892764,0,vk_video_android,video_search,1524751727232
2094226871520,271861930016,921,vk_video_ios,video_search,1524759183234
2142387479624,292278366172,0,vk_video_android,video_for_you,1524754407516
2148567433082,254211670128,0,vk_video_android,video_for_you,1524771204408
2172911472172,267071065144,0,vk_video_android,video_search,1524761582790
2177548068668,283074246524,0,vk_video_android,video_for_you,1524753391548
2178695070118,1874393420,0,vk_video_android,video_for_you,1524780555324
2182166795032,105949036644,0,vk_video_ios,video_search,1524762505182
